,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0125,5609.95,0.000375,14.024875,1.0125,5574.16,0.000375,13.9354,1.0125,5921.5,0.000375,14.80375,1.0125,5609.95,0.000375,14.024875,1.0125,5574.16,0.000375,13.9354,1.0125,5921.5,0.000375,14.80375,3,16623.2,0.001111111,41.558,3,16517.1,0.001111111,41.29275,3,17546.4,0.001111111,43.866,3,16623.2,0.001111111,41.558,3,16517.1,0.001111111,41.29275,3,17546.4,0.001111111,43.866
2,2.025,11220.3,0.00075,28.05075,2.025,11148.7,0.00075,27.87175,2.025,11843.4,0.00075,29.6085,2.025,11220.3,0.00075,28.05075,2.025,11148.7,0.00075,27.87175,2.025,11843.4,0.00075,29.6085,6,33249.6,0.002222222,83.124,6,33037.5,0.002222222,82.59375,6,35096.1,0.002222222,87.74025,6,33246.2,0.002222222,83.1155,6,33036,0.002222222,82.59,6,35095,0.002222222,87.7375
3,3.0375,16831,0.001125,42.0775,3.0375,16723.6,0.001125,41.809,3.0375,17765.7,0.001125,44.41425,3.0375,16831,0.001125,42.0775,3.0375,16723.6,0.001125,41.809,3.0375,17765.7,0.001125,44.41425,10.5,58184,0.003888889,145.46,10.5,57823.7,0.003888889,144.55925,10.5,61426.8,0.003888889,153.567,10.5,57970.3,0.003888889,144.92575,10.5,57653.4,0.003888889,144.1335,10.5,61257.5,0.003888889,153.14375
4,4.05,22442.1,0.0015,56.10525,4.05,22298.9,0.0015,55.74725,4.05,23688.4,0.0015,59.221,4.05,22442.1,0.0015,56.10525,4.05,22298.9,0.0015,55.74725,4.05,23688.4,0.0015,59.221,17.25,95080.7,0.006388889,237.70175,17.25,94918.9,0.006388889,237.29725,17.25,100876,0.006388889,252.19,17.25,92785.5,0.006388889,231.96375,17.25,93071.8,0.006388889,232.6795,17.25,99018.1,0.006388889,247.54525
5,5.0625,28053.5,0.001875,70.13375,5.0625,27874.5,0.001875,69.68625,5.0625,29611.4,0.001875,74.0285,5.0625,28053.5,0.001875,70.13375,5.0625,27874.5,0.001875,69.68625,5.0625,29611.4,0.001875,74.0285,27.375,146260,0.010138889,365.65,27.375,148770,0.010138889,371.925,27.375,158551,0.010138889,396.3775,27.375,127283,0.010138889,318.2075,27.375,129616,0.010138889,324.04,27.375,138098,0.010138889,345.245
6,6.075,33665.3,0.00225,84.16325,6.075,33450.5,0.00225,83.62625,6.075,35534.9,0.00225,88.83725,6.075,33661.5,0.00225,84.15375,6.075,33448.7,0.00225,83.62175,6.075,35533.5,0.00225,88.83375,42.375,183351,0.015694444,458.3775,42.375,211358,0.015694444,528.395,42.375,232244,0.015694444,580.61,42.375,163976,0.015694444,409.94,42.375,167386,0.015694444,418.465,42.375,177410,0.015694444,443.525
7,7.0875,39277.4,0.002625,98.1935,7.0875,39026.8,0.002625,97.567,7.0875,41458.7,0.002625,103.64675,7.0875,39265.4,0.002625,98.1635,7.0875,39019,0.002625,97.5475,7.0875,41451.4,0.002625,103.6285,57.375,201634,0.02125,504.085,57.375,239832,0.02125,599.58,57.375,269752,0.02125,674.38,57.375,193590,0.02125,483.975,57.375,197545,0.02125,493.8625,57.375,208393,0.02125,520.9825
8,8.1,44889.9,0.003,112.22475,8.1,44603.5,0.003,111.50875,8.1,47382.9,0.003,118.45725,8.1,44847.9,0.003,112.11975,8.1,44580.6,0.003,111.4515,8.1,47362.2,0.003,118.4055,72.375,214322,0.026805556,535.805,72.375,256699,0.026805556,641.7475,72.375,289548,0.026805556,723.87,72.375,219111,0.026805556,547.7775,72.375,223376,0.026805556,558.44,72.375,234668,0.026805556,586.67
9,9.1125,50501.7,0.003375,126.25425,9.1125,50180.5,0.003375,125.45125,9.1125,53307.4,0.003375,133.2685,9.1125,50398.8,0.003375,125.997,9.1125,50110.9,0.003375,125.27725,9.1125,53242.4,0.003375,133.106,87.375,223946,0.032361111,559.865,87.375,268428,0.032361111,671.07,87.375,302643,0.032361111,756.6075,87.375,241422,0.032361111,603.555,87.375,245905,0.032361111,614.7625,87.375,257384,0.032361111,643.46
10,10.125,56108.5,0.00375,140.27125,10.125,55757.9,0.00375,139.39475,10.125,59232.3,0.00375,148.08075,10.125,55929.5,0.00375,139.82375,10.125,55618.5,0.00375,139.04625,10.125,59094.5,0.00375,147.73625,102.375,231461,0.037916667,578.6525,102.375,277233,0.037916667,693.0825,102.375,312366,0.037916667,780.915,102.375,260817,0.037916667,652.0425,102.375,265475,0.037916667,663.6875,102.375,276910,0.037916667,692.275
11,9.1125,50495.3,0.003375,126.23825,9.1125,50180.5,0.003375,125.45125,9.1125,53307.4,0.003375,133.2685,9.1125,50316.3,0.003375,125.79075,9.1125,50041.1,0.003375,125.10275,9.1125,53169.6,0.003375,132.924,117.375,237304,0.043472222,593.26,117.375,284022,0.043472222,710.055,117.375,319721,0.043472222,799.3025,117.375,277266,0.043472222,693.165,117.375,282094,0.043472222,705.235,117.375,293318,0.043472222,733.295
12,8.1,44882.5,0.003,112.20625,8.1,44603.5,0.003,111.50875,8.1,47382.9,0.003,118.45725,8.1,44703.4,0.003,111.7585,8.1,44464.1,0.003,111.16025,8.1,47245,0.003,118.1125,132.375,241590,0.049027778,603.975,132.375,288707,0.049027778,721.7675,132.375,324935,0.049027778,812.3375,132.375,290944,0.049027778,727.36,132.375,295813,0.049027778,739.5325,132.375,306681,0.049027778,766.7025
13,7.0875,39270,0.002625,98.175,7.0875,39026.8,0.002625,97.567,7.0875,41458.7,0.002625,103.64675,7.0875,39090.8,0.002625,97.727,7.0875,38887.3,0.002625,97.21825,7.0875,41320.8,0.002625,103.302,136.125,242421,0.050416667,606.0525,136.125,289414,0.050416667,723.535,136.125,325758,0.050416667,814.395,147.375,302120,0.054583333,755.3,147.375,307003,0.054583333,767.5075,147.375,317550,0.054583333,793.875
14,6.075,33657.8,0.00225,84.1445,6.075,33450.5,0.00225,83.62625,6.075,35534.9,0.00225,88.83725,6.075,33478.6,0.00225,83.6965,6.075,33311,0.00225,83.2775,6.075,35396.9,0.00225,88.49225,141.75,243407,0.0525,608.5175,141.75,289581,0.0525,723.9525,141.75,325806,0.0525,814.515,162.375,311278,0.060138889,778.195,162.375,316155,0.060138889,790.3875,162.375,326420,0.060138889,816.05
